overall,reviewText
negative,i dont like it the color doesnt stay on the lips as much as i imaged
negative,horrible mauve color different than the photo i waited too long to return unfortunately
neutral,still have is just a nice smelling oil
positive,everything was very cute and of nice quality the instructions sent and suggestions was very helpful very excited to use at my sisters baby shower
negative,i didnt expect to receive it broken not as nice as picture the idea of it was nice
positive,it gets the job done and has some advantages over the classic that we had for about twenty years  we had to give that one up after the little bayonet flange that held on the top of the pump cracked causing a severe leak  the ultra is unnecessarily tall doesnt fit under medicine cabinet door and the horizontal onoff rocker switch requires holding the unit so that it doesnt just slide down the counter when pressed the vertical slide switch on the classic was much more convenient  the instructions for this one suggest placing the nozzle in ones mouth before turning it on even at halfpower that could cause considerable trauma we always test it in the sink first  and the lid doesnt even include enough slots for the nozzles that are included some will inevitably be lost or ignored
positive,i tried this product  years ago and now im never without it it isnt heavy or greasy my make up goes on perfectly over it my face looks and feels fresh for  hours it can be worn alone too the sunscreen is excellent worth the price
neutral,i have been using this product for over a month now ive see a  shades lighter difference in my inner thighs but in other parts of the body for example elbows and butt  was no difference overall its a good product and will keep buying it if only for my inner thighs
negative,i was really disappointed in this as i had gotten the same product that was sold at target a few months ago and it was perfect for my little baby girl during diaper change time  i dont know if it is the manufacturer or the distributor but this time the solution smelled differently kind of off and the pump doesnt work correctly  frankly to hunt this down online since its not sold in stores i am highly disappointed  if california baby gets this review please send me a better product  thank you
neutral,i prefer a larger one than the one order
neutral,it came earlier than expected but it didnt hold up well after a week or so one of the brushes had fallen off and ive just barely used it
positive,electric heart is the one perfume my wife wanted this set was perfect thank you
negative,nope does not stay very long
neutral,the quality is great especially for the price but the reason im giving it  stars instead of  is because the colors that arrived dont really match the colors i picked out from the  colors i received  of the colors were wrong its suppose to come with  purple colors one light and one a little darker which was why i picked this set but instead it was mostly all pink but in different shades i want to order another set of different colors but a little scared the colors wont match again but i guess overall im pleased with the quality
negative,i thought they were silver as pictured not happy with this earrings too large
negative,im into month  of this rather expensive supplement and have found absolutely no change whatsoever in any aspect of my health  i had very high hopes but i dont think ill be spending the money anymore i take  pills daily
neutral,they dont work very well  not the fault of the provider
neutral,its great for one day will turn fingers green
positive,i really like this product i was worried because i have very fine hair and most things make my hair greasy or not workable and this one product does the opposite
negative,really strong smell it literally fell apart when i opened going to try for a week to see a difference in my stretch marks
positive,i like the feel of the product and i love the ingredients however i do not love the color poppy its  safety orange  and unflattering im a deep autumn i was hoping for something more like a coral red which is the color in the digital photo of this product but as i say i like the product feel and ingredients so i may reorder a different color at some point
neutral,im wondering if what i received was authentic very alcohol smelling not much staying power and weak scent i really want to live it but i dont  im gonna keep trying it though
neutral,super tiny
neutral,the colors themselves are pretty they have a very dry feeling and look as if you painted your lips with some sort of ceramic glaze
positive,smells good leaves skin soft and great price
positive,good product
negative,i gave this to my boyfriend for christmas and he started using it in january  he has two or three different shavers he trades off and has in different places so he always has one available  so this one was purchased as a spare  so he didnt use it every day  he went to use it one day and the heads didnt work  he cleaned it out just in case that was the problem and to no avail  one head moves and the others do not  i feel i should have been given at least a replacement for this one  im quite sad about this  i have always used norelco products  now i am wondering if i should consider a different brand
positive,i was excited to give this a try as being  years old and still have break out issues it is not fun for myself to have and makes me very self conscious so far after taking already for a number of day that my face is beginning to clear up i have tried so many products over the years with no luck i had my dr check to make sure that it wouldnt interact with any of my current meds and i take many she gave me the go ahead and was on cloud nine my husband has even made comments how much better my skin is looks it is worth checking into for anyone having break out issues with no luck i want to note i got this for discount for my review this will be my go to item now that my face is clearing up so well
negative,the gillette fusion new multi pack is dangerous and should be recalled  the original is still the best the new with cheap white plastic should be recalled or listed as dangerous to the user the white plastic handle is too thin to grasp and hold in position with a wet hand first time i used it i sliced a one and a half inch strip from my scalp i have been shaving my head for quite a few years and first time for this slippery little beauty a very nasty cut not with one blade but the full  stick to the original well designed product not the introduction of a cheap plastic dangerous product
neutral,i included this is a gift bag for my family members and they ran small so some of them didnt get to enjoy there presents
positive,great for lipstick demos and also helpful to use to replace tips of current liquid lipstick applicators
neutral,i am not too satisfied with this flosser as it leaks from the handle while flossing
positive,i love it
negative,they were very small and most of them are the same brushes
positive,nice hard to keep brushed or combed
positive,i liked this it looks awesome with my complex the only upset that i have found so far is that it does dry my lips
neutral,this unit is not as powerful as the last unit we had i use it on max pressure of  all the time not too happy but its good enough
neutral,i expected this product to eliminate the need to floss with string but according to my dental hygienistthat is not the case  so based on this the product is not meeting my intended need  otherwise it is fine
neutral,so far so good
negative,i love the smell of jasmine and i was excited to find this bath set the sponge isnt useful and it isnt really a jasmine scent the salt didnt do anything the only thing i have found in this set that i liked was the bath fizzies and even then the fizzies should give off a pretty good scent they dont all in all very disappointed in the quality
negative,a little smaller than expected
positive,excellent product and price
positive,it took a while because it got sent back to the seller but the seller sent me another one so it all worked out i cant wait to use this product
neutral,the mitts are a bit small for larger hands also i had the hanging tags come undone fairly quickly from a pair
negative,it had no smell whatsoevergoing to try again and send them both back if this is the same
neutral,i hated giving  stars but i really didnt notice any real big difference maybe im jumping the gun on this and not really giving it a chance it does leave you skin soft i liked the smell and did leave my skin soft but didnt help with the puffiness dont be discouraged by my review everyone is different
positive,my wife and i love this stuff  if you have teeth that are really close together you can use this floss without breakingtearing the floss  some cheap floss is thick and has burrs not this stuff
negative,after hearing about this when it was being promoted on the howard stern show i decided to pick one up the shaver itself has a nice comfortable design  however as noted in other reviews the guides are awful  they do not do a good job of guiding the hair  to the blades making your trimming look uneven and sloppy  another problem i have had is when trimming without the guides the blade unit has a tendecy to pop right out of the shaver  sure it easily snaps back into place but itis annoying and can easily mess up what you are doing  this product is a great idea but something really needs to be done about how well it works with the guides as i dont always want to go down to bare skin
positive,excellent
negative,i am very unhappy with this razor it looks great and like it would hug your face and give you a close shave this is not true i find it very difficult to get a complete shave there are always hairs left i had a norelco prior to this one and loved it the old one was quieter and gave me a great shave but not the arcitec lousy shave i had intended to return it to norelco under their  day guarantee but forgot and missed the deadline if you want a close shave buy something other than this
neutral,if you need a strong durable and protective case for your iphone s plus this is definitely something to take a look at as this quality case comes in several colors you can purchase this waterproof case for a fraction of the cost of the other big named companies and still get very similar results to start it all off packaging was neat very hip and cool i was very impressed by the storage box with magnetic closure lid that came with the case as it is a great way to store the accessories that came with the case itself armed with a microfiber cleaning cloth optional carry wristlet and waterproof phone jack connector specifically for the phone jack port of this case to ensure waterproofability makes this a very smart choice  at first i was a bit skeptical but waterproof test was done successfully without any issues installation was a breeze as the case snapped together very easily for a very snug fit power button and volume buttons are molded for easy access and respond very nicely as well as the roller wheel to switch from mute to volume seemed like it would not work at first but eventually has responded flawlessly  of the time i have had issues in the past with some cases that do not respond well to the fingerprint id as it does not read it properly however with this case i can utilize the security feature of the fingerprint id with no issues at all  the screen that covers the case offers scratch proof protection as well as waterproofing and is very similar to the other big named companies you get the bulkiness of the screen protector as it does not quite hug or streamline against the iphones beautiful screen which can be very frustrating at times to feel like you have a cover over the screen in which you essentially do again this is the norm in how all the other super protective waterproof cases work so it is your choice if you want the protection or if you would rather have a nude screen with that being said the screen itself in regards to visual output brightness and touch response has not been compromised in any way and offers the same type of viewing and response from my other cases tested previously  the back of the case is super protective and strong made of plastic it appears that it would be very durable and survive all the drops falls and much more the plastic backing does get scratched easily and does have a very hard plastic feel to it compared to the other cases which might be more smoother or offer rubber or other soft plastic as a different option nonetheless this is a small issue and makes little to no difference for me i was also concerned of my voice being muffled as the case protects the phone very well it may partially block the microphone on the bottom of the case with my testing i had no issues and everyone on the other end of the call was able to hear me loud and clear another bonus  overall this is a great case that looks the part and will protect your iphone investment day in and day out if you do not want to splurge tons of cash on the other similar types of cases from other companies this is definitely your choice or at least a nice addition to your collection of iphone cases i trust this case to protect my phone and will be switching this to my daily case give this case a look it will definitely be worth your time  i received this case for free or at a discount in exchange for an honest and unbiased review  update case has seen better days as the back of the case is all scratched up and the screen itself attracts fingerprints smudge dirt etc also the screen protector seems to have stretched as it does not necessarily hug the screen as well any more  finally i have noticed the very cool but notpracticle roller wheel control that operates the mute vs unmute function has a mind of its own after trying to reset it by reinstall the phone repeatedly the case itself will toggle between mute and unmute with the slightest bump  if the company can get these fixed they definitely have a rockin case otherwise i have adjusted my rating to display my new findings
positive,love this product ive been using  black soap for about  years now i have very sensitive skin so this works for me so far ive had no issues in the past i would have issues with little tiny rocks in the soap but this batch was fine
neutral,its child sized where it looks like a large bracelet in picture its actually only an inch tall all strands included the elephant is an inch wide by maybe  tall fresh out of the packaging the clasp is already chipping its shine off that said its still cute  diameter
negative,i couldnt get past the smell of this unfortunately
positive,very cute but the ball in the middle of the dream catcher is not like pictured mine looks like a tiny dinosaur egg that is off white with some darker tan patches on it other than that its great
negative,i have been using mahavishgarbh oil from other sources for some time now and this one doesnt feel right its supposed to be sesame oil based but this one doesnt seem to smell or feel anything like that look like i wasted  not sure how to get it back
negative,this is the first time ive ever reviewed a productthis is terrible  its been three days and i cant taste anything and my tongue is burning  do not buy this horrible product
neutral,while i did receive this product in exchange for an unbiased review my opinions are mine and mine alone  with that being said i guess i should let everyone know that my experience is that there was absolutely no change in my acne or my daughters acne i would give less stars but i believe that others may have better luck than we did we had no side effects so that was nice i will not purchase this item
negative,i like the color on the swatch but when i received the matte lipstick it was more of a light pink color  also it is not matte it has a slight glossy shine to it
negative,this arrived at my house  days after i ordered it  i was impressed by the speed of delivery that is the only reason i didnt give it the lowest score  i took this as directed for  months and there is no difference noticeably or measurably not even one millimeter
positive,i use this product at night because i dont like how my makeup lays ontop of it ive been using the vitamin c for the day time and i enjoy it ive noticed less acne fine lines are diminished and dark spots have faded ive purchased this twice and will continue to do so as long as the product quality remains the same and they continue to stay cruelty free and natural
negative,i was very happy when i received it but i was shocked when i read that it could not be used with more than  voltage as the voltage we use in spain is  it was not possible to use it i decided to return it and the shipping hadnt been  refunded in my opinion a note should be added to electrical items saying that in europe might not be possible to use it
neutral,used the concealer brush for eyeshadows at a wedding because they were so small thank god it broke the day after and not during got use out of them but would not purchase again
neutral,sheds alot but is soft and does the job
negative,ok  hair does get stuck in the wand though
neutral,my order came on time and it fits perfectly my salon chairs but when you work with color you can wipe it but it stains and it will look dirty
negative,why is this so expensive the size is too small never buying again i bought henna powder with the same price but the package was huge
neutral,this product was still itchy on my softer skin but just fine on the soles of my feet and palms of my hands  it helped with my foot cramping too
positive,i love this necklace its very fashionable
positive,i started using this product at the beginning of the week and i am already seeing a difference after using it for just three days my teeth are getting a lot whiter and i love it i will definitely continue using this and would highly recommend it to friends and family the only complaints i have are that the white strips arent long enough and that it does make your teeth sensitive but not too bad for me anyways bottom line i love it   edited my review months later my teeth have stayed really white and healthy and i have recieved compliments d i seriously love these products and please please believe me when i say this is an honest review i know that probably didnt help but i am serious one of the reviews says that the bottle of mouthwash is small and it is but i find that i dont use as much as normal mouthwashes because this one is soo strong also a  star review says you cant talk with them on but i can the adhesive is strong enough that is stays on your teeth i dont know why hers doesnt if you already have sensitive teeth i would say that you shouldnt use this though it does make your teeth more sensitive but just for like an hour
neutral,smells really bad and it sometimes will take the nail polish off as well when you take it off so you have to wait a really long time before you take it off
neutral,ive owned the braun synchro for over a year  i was excited by the self cleaning feature  until i realized i was cleaning my shaver with very dirty alcohol after the first few cleanings although the cleaning might seem convenient i found it to be more annoying than useful and went back to the brush  wastebasket method  and the shaver and cleaner were much noisier than i would like  i had previously owned norelco shavers that never shaved close  but were gentle on my very sensitive throat area  the braun shavers do shave closer but arent quite as gentle as i require and i still come away with nicks on a fairly regular basis  i am about to try the latest norelco quadro and will report on that after ive tried it
positive,i  really like this my dental health has improved and i enjoy how easy it is to use and store
positive,ive used fiber just about every day for a few years and have always been happy with it low shine unlike gel
neutral,its ok
negative,smelled horrible returned it
positive,very cute really like used a lot too
positive,what i needed
negative,ok so i get one size fits all does not necessarily pertain truly to everyone but this was just ridiculousthis was obviously made for girls not womeni guess for the price i should have known better
neutral,shop around if you are looking for a good quality shaver there is nothing special about this shaver i read great reviews perhaps i expected too much
negative,was not impressed not enough power
negative,dont waste your time buying this product i both arm lift and got me tight lift tried the tight lift its horrible it wont stick i want my money back
positive,made great shower gifts
positive,the best product found so far  i just use it for a few seconds every other night and no more waxing or plucking  could i be more happy  i couldnt  just fantastic
positive,its nice
positive,this is great hair  it is super soft and smooth  in fact that was the problem  this was my first remy purchase and i underestimated just how silky smooth it would be  im african american and this just wouldnt look right on me  the seller was prompt about authorizing the return though and i anticipate a refund soon  thanks anyway sleek hair
neutral,smell is a bit overwhelming quite floral coverage is light and breathable i didnt see any color correcting but its decent for evening skin tone and providing a bit of coverage
neutral,the color is great under a blacklight however the picture shows the paint in a pump spray bottle that is not the case is in a dropper bottle i was looking for the ease of the spray bottle for a glow party
negative,not what i expected
positive,best thing ever to keep my toes straight and got rid of my bunion with everyday use for  month  kinda cheap and will break easy  the same item at walgreens is stronger but more expensive  overall it works
negative,the onoff switch broke immediately i like the way it diffuses but have to fiddle with it to get it to run
neutral,this product is ok  flavor is good and it is a lighter consistency than pixie stix or similar candy  plenty of fun  only issue is that the volume is enough that it will last and be handed on to my posterity through multiple generations  id suggest purchasing a smaller sampler size if available
negative,it doesnt wash out
negative,was so excited to receive this in the mail because the picture looked so promising i expected it to give me a glow like the anastasia illuminators or mac whisper of gilt what i received was a chalky pale white with very subtle shimmer highlighter the texture was hard like clay not silky or blendable the color wasnt even prettyvery misleading picture it is not gold at all its like a crappy version of mary lou manizer from the balm o not waste your money
positive,this is a fairly excellent and righteous floss i cant bring myself to give it five stars because well were talking about floss here dental floss stars and im thinking of the nuclearfurnacespace stars not the yoohoos in hollywood and floss just dont seem to mix well at any rate this is a nice handling floss smooth and crisp tasting with its cool mint flavor that lingers in the mouth even after youve swished and expectorated more people should floss obviously judging from all the bad breath in this country and this is floss they can trust in
neutral,good but needs pactience
positive,this face moisturizer is the best for your face morning and night it is not greasy and does not go on thick its just perfect
neutral,i resently went on a cruise and i recived many  complements on this belly ring
neutral,this inexpensive palette was definitely better than some illuminators ive tried but unfortunately it misses the mark the four colors are gorgeous champagne pale icy pink mauve and golden bronze but the finish like many illuminators veers toward glittery instead of a glowy sheen i will keep it around because the shades work beautifully as shimmery eyeshadows but as an illuminator i wouldnt recommend it
negative,easy on my sensitive scalp easier than the original formula works great if you are going from an organic shampoo to this if going from a harsher more mainstream shampoo the transition period will be a little more tough but worth it this is the only alternative to conventional shampoo that has worked for me i need to wash my hair much less often every  days   i would suggest leaving it out of the way of water when its not in use the bar lasts a long time unless its constantly always to water   month later update this worsened my scalp psoriasis i think its the olive oil base
neutral,these earring are really really tiny
negative,not stronger than loofah   falling apart already received jan th  stitching fail after th use jan th  moving on to next level sisal higher grade product
positive,perfect for the bridal shower tea we had  they were a hit
negative,it made my teeth burn
positive,very cool cap got it for my  year old boy fits great and he lover it
neutral,my boyfriend wanted to get into double edge de shaving so i bought this bowl as part of his setup of all the items i purchased for him to get started this is the most meh he says it is great but i think he is only saying that because i gave it to him while it is true that it does what it was designed to do it doesnt feel like it is finished very well on the inside it has a rough almost unfinished feel inside the bowl it is very lightweight the outside is smooth and attractive i like the color the lid is well finished on the inside and the outside he uses the co bigelow shaving cream in the tube that can be bought at bbw it washes clean and dries without any residue i am not sure this would be as useful for a shave soap bar that is meant to stay in the bowl at all times this is a functional item i am just unsure as to how long it will last the one i purchased arrived with a crack that went through the side from the inside out it doesnt seem to affect this bowls ability to work up a good lather and it is fine for now the price and look are very nice but i will be looking for another bowl for him to use when this one cracks beyond use or rots from water absorption
negative,this is my second container of this this first was scented and worked wonderfully no irritation whatsoever  this was totally different from the first  it is so dry and crumbly its difficult to put on  the first was creamy and easy to use  additionally it breaks me out terribly  i have to stop using it  the only thing i can think is bad quality control and i got a bad batch  ill try again  i hope my next order is like my first i was happy to have a natural deodorant that actually works
neutral,i bought this cream at the drug store i have bad leg circulation and this stuff works well  i give it  stars
positive,this blush is a very fine powder and appears a little bright and dark in the compact although this is deceiving i am pale and the color really gives me a nice glow overall a nice flattering color
neutral,not a very good product regifted
neutral,bought a couple years ago worked well though it leaks if you lift the reservoir or if the handle w pick falls out where it is supposed to snap in so today the clamp on the unit broke so it can no longer be used except if you dont set it down and then empty the water only one user dont use every day though i should
negative,made my hair feel weighted down greasy and smells terrible
negative,broke after two weeks save your money and buy a better brand
negative,these were so cute i bought two packs for my girlfriends bachelorette party since im the maid of honor we stayed at a house in napa that had a pool i had one of the team bride charcoal bands around my wrist and after swimming twice the wording was completely gone so i basically overpaid for a hair tie my bride confirmed that her white ones also dont have the lettering after wearing them a couple days overall cute but not built to last
negative,broke in less than a week  the rooster over a a year old is still going strong
positive,ive seen a lot of complaints about the product and i rather like it it has helped my damaged hair a lot i like to use it at night and my hair is all bouncy in the morning i comb through my hair with a wide tooth comb or with my fingers to avoid frizz my husband really likes the smell of it thats a bonus
neutral,i love the palette wish the cakes were a little thicker brushes are a little stiff hoping they soften up a bit with use nice set otherwise 
positive,had to show my daughter how they look in my granddaughter hair  product is great
neutral,mine didnt hold a charge and i returned it for exchange but while i had it it ran quitely and shaved closely i sent it back just yesterday and dont know when the replacement will arrive
positive,i swim every other day and have dry skin  this works great to take the chlorine out and still make my skin soft  love it
neutral,cheap looking
negative,what was i thinking
positive,ive been using youthhair for about a year and its great prior to using yh i wasnt really that grey but what i had disappeared and requires few applications to maintain its lasting ability i highly recommend this product if you want something thats easy to use with no mess or fuss youthair is for you
negative,really bad
positive,i bought this for my husband and he loves it  easy to use  cleaning is simple  all in one charging and hold all parts in one tray
negative,they charged me and i not received the item yet on top of that they start playing blame game putting things on ups
negative,the scarf in the picture is a lot larger then what i received it is pretty but very small
positive,beginning  i used to buy generic white dove bars a while ago but for some reason i went back to other regular soaps but in november  months ago i started noticing my skin was losing softness mainly in my feet and my hands i decided to give the dove men a try and the results came almost instantly all soft again   other reviews say it melts too quickly but from my experience thats not my opinion at all i started using the first bar on christmas and i changed  days ago  which is about two weeks and i take about two showers a day  hand and face washing throughout the day i think you just need to take care of the bar and not leave it in a pool of water about the odor complaints it just smells great classic scent no complaints at all from me plus the november rainish color the micrograins and the distinctive shape makes it very original and enjoyable  overall i dont think i had a better soap in a while and im most likely sticking to dove men
neutral,great product works well unfortunately after a couple of months i noticed mold growing inside water chamber have not been able to find out how to clean  remove mold so this became a waste of money
positive,love this oil fast shipping too
neutral,in general it is ok it takes a long time to warm up the wax is very sticky and its easy have a big mess
neutral,the product is not fresh  some come out clumpy  some come out very dry  the dry ones work well the other clumpy ones still work but have a stale flavor to them
positive,best set of clippers for the price
neutral,only negative here is it smells more like a womens scent than mens its very floral
negative,hardly did anything for my feet didsappinted waste of money wont buy agsin
negative,tastes like cinnamon yuck
neutral,very nice kit but i wont be using it again my skin was very irritated and it ripped some skin off in a few areas the wax is extremely sticky you can barely get it off of your skin
positive,fantastic
negative,super cute and my  year old loved it but the colored lights stopped working after a couple of days so now only the white light works not nearly as fun for her
neutral,didnt make my face feel moisturized try the innesfree instead
negative,barely has a scent
positive,beautiful i cant wait to wear it on my wedding day
negative,not for larger breast women 
neutral,i like it but i dont think its the same as the original formula i used in high school the one i remember using had more shimmer to it  blended nicely this one is more matte it has a lot of kickback when i used a kabuki brush which is what i always used to use with it so i switched to the real techniques blush brush  it applies better
negative,girlfriend just tried this product  minutes ago she says her face feels like its had acid thrown on it  would use on disobedient indian wife who didnt do her chores
neutral,the hair is very well packaged it served its purpose for what i paid i washed the hair prior to installing the hair holds a curl moderately however it has a synthetic blend feel to as opposed to other virgin hair i have had i doubt this is  virgin unprocessed hair if you want it for short term use like a less than a month install i think youll be fine
neutral,it helped curb my mid day munchies i liked the product however there was something in it that i was allergic to so i had to quit taking it so it ended in a love hate relationship
neutral,as for blasting water in your mouth i would give it a   what i dont like is the off on switch and the coil that delivers the water  i think you should be able to turn the thing of and on at the pic  i know they have a pause button there but for my personal taste i would like it to be on the handle  the water coil is wrapped to tight and you can not make full use of its entire length then when you try to return it to the holder you have to massage it in my dislikes should not be a deal breaker if you need a pic  i do like the other features but for me it is a little cumbersome
negative,not worth the price  other products at sallys beauty supply that are better quality and priced better
positive,this item is shorter than description you should order at least  inches more than you want you may also need   oz bundles to make a full head
positive,this soap is wonderful  the price is steep but well worth it  my wife loves it and so do i
positive,they are good but some are very light when applied still good though they do not have a way to push the rest of the eyeliner out so you have to get a good pencil sharpener that will sharpen plastic to keep using this product
neutral,this is a decent hand and body lotion that moisturises and absorbs fairly quickly  the scent is recognisably lavender but a bit unnatural though not unpleasant
positive,awesome product for dry scalp price is good and receive it quickly
negative,i love yl  essential oils but this formula it is to strong i have been  taken thieves and oregano many times but inner defense gets me sick as a dog every time i take it be aware
negative,not worth your money
negative,smaller sample size than i had anticipated but this will do for now
negative,this item was so disappointing i used it for over one month and literally there is no change on my pores however it has a good smell that is something good i can say about this product
neutral,these razors get close but maybe to close
negative,this bag is too small
positive,great giftthey love it
negative,the outside of the case was nice and sturdy but the inside dividers are very flimsy and the vevlet was pieced together often missing spots i would not recommend this makeup box
neutral,this is a good electric shaver but know what you are getting  electric shavers are never as good as traditional razors  before i had a beard fulltime i inevitably kept switching back to a normal razor because it really does shave smoother closer to the skin and generally faster  that said electric razors do feel like less work and less mess though likely with more razor burn  this electric razor fits nicely in the hand is fairly maneuverable with the three heads and holds a decent charge  i use it predominantly on my neck and upper cheeks around my beard but have used it for full facial shaving in the past  it has done a good job of shaving hair though you may need to do more than one pass and at different angles to get all the hairs  overall i was relatively satisfied with this shaver and it suited my needs  you can give this one a try with reasonable confidence but it might not hurt to shop around and see what else is out there
neutral,not the best nail glue ever but nails lasted on for about a week  a half
positive,as advertised two caps per bottle
neutral,streaky at times not as light and even as i would like it but is ok
neutral,this mitt does a great job of exfoliating and leaving my skin feeling invigorated  i dont use the soft side but i suspect washcloth users will find it appealing  the way this is designed is more like a pocket than a mitt  it would have been nice if it had a thumb like a mitt because that would have prevented it from twisting as youre washing  even a knit cuff would have helped keep it from slipping off  but i can live with that  what i find really problematic is that it takes forever to dry  i did a little science experiment to test exactly how bad the problem is  i gathered a bath poof a scrubby glove a loofa sponge and this mitt  then i got them all wet and wrung them all out by hand and hung the to dry in the morning  by that afternoon the poof glove and loofa were mostly dry while the mitt was still sopping wet  by the next morning the mitt was still damp while the others were bone dry  the mitt was not fully dry for a good  hours  i can only imagine what a breeding ground that will be for nasty mold to grow if its going to take that long to dry after each use  in fact if ypu use it every day it will never get dry  i think they should have used materials that were less spongy so it would have dried out faster
neutral,its okay different strokes for different folks  i didnt like the way it made my hair feel  my hair had a weird oily feeling to it once it dried it was dry and flaky  it didnt lock in moisture for my thick coarse b hair  my hair gulps moisture and this was just not helping  i dont plan on buying it again
negative,do not waste your hard earned  dollars
neutral,it does what it needs to do but the scent of the product is strange
negative,i recently purchased this for my daily moisturizing needs i am not impressed when my skin is dry and flaky it remains dry and flaky even after i put this lotion on definitely will not be buying it again i guess the price was too good to be true
positive,i t rully love this product unfortunately it has been discontinued by the companyif anyone knows were i can purchase this let me knowplease
negative,good news and bad news good news i used this thing twice a day for  months filled with mouthwash and it had a major impact on my gums bad news the holder for the handle broke after three months its not particularly well designed and not particularly durable however it seems to be the best thing available
neutral,the mask is really tight around my head im not a big fan of patience which is something you need i prefer to open my package and use it right away whereas you have to throw this into the freezer or microwave before you use it i always fall asleep before i even get the chance to put it on my face   you can find this sold at forever for like  apparently
negative,i dont like this smell it reminds me of someone who has not taken a shower and puts on perfume to cover up their funk i do not recommend this 
neutral,not microfiber as i know it and definitely not lush especially once wet decently soft though and a handy little size  nice for a quick wash or probably not what they intended for wiping out the old dogs eye corners  easy to tuck away for travel and the like
positive,works great for hair thats thin  wish walgreens kept it on the shelf
negative,used this for putting cones in my german shepherds eats and it didnt work
negative,these dont fit snuggly on the face so they dont really darken the room for me
negative,i like the concept of this trimmer with the vacuum and all but im really annoyed that the people who make these things wont tell you what lengths the comb settings will trim to  even if you go to a store to look at one they have it all sealed in plastic that you have to cut open just to take a look at it  so i got this thing home to see if it would trim to my preferred length and no it wont  im liking the stubble look and about  days growth looks best on me  this trimmer only goes down to what represents  days growth for me  i have another panasonic trimmer that works fine but it has the same issue  i can take the comb off and cut the stubble down to about one days length and then let it grow back a few days but im getting really tired of doing that  i think these manufacturers should specify their trimming lengths so you can do a reasonable buying comparison
negative,it came broken and could not be returned
neutral,several reviewers have already noted how quiet this razor is and i agree wholeheartedly  this is the quietest electric razor ive ever owned thus i have dubbed it the prius of razors  that said  it seems to be really quiet because it lacks a lot of power on a full charge you can hear the little blades jut churning away trying to cut those tiny whiskers and on me they are very tiny often i have to cut the same hair two or three times  i am part native american and thus i grow very little facial hair so the prius razor works okay for me  however if you are a full beard person or one of those five oclock growth people i cant imagine this is the razor for you other positives lightweight  easy to handle and the battery is fantastic
negative,a good traveler yet for the price small plus if its warm becarefull it squirts out all over
neutral,does it work on thick wavy hair
negative,i was disapointed they came in leaking all over the box
positive,burns somewhat but some of the acne dark spots on my face have become lighter
neutral,after receiving the product today i could tell that the bottle wasnt full with product and stopped about   inches from the top curious about the container not being full the bottle is white  but still see through enough to tell that it is not full since just getting it today i have not used it long enough to tell how well it works the  star rating is due to product container not being full
neutral,it came with every thing but they tell me that know i will have to replace the heads ever  months and it does get water every were but oh well but it is loud but it is good for what is is for
neutral,it was disappointing to receive a substitute barrette because the one pictured is really a beautiful design  i hope that someday this original will be available and i will buy it because the clip functions well  i just did not like the pattern that was sent  i returned it and was reimbursed promptly
neutral,i bought this waterflosser to replace an old one that died after  years of daily use  the love the job this does on my teeth it really cleans them and is a great addition to daily oral care  but i really dislike the new product design  removing the water reservoir in order to fill it is cumbersome and replacing it back onto the base when its full of water results in some sloshing  i finally decided to just leave it in place and fill a pitcher with water and pour it into the reservoir  the lid of the reservoir doubles as the storage place for the picks and it isnt large enough to hold all of the different picks that are included  i dont know why this product was redesigned when the old version was so much better
positive,this brush really works well
neutral,this is a good very basic grooming system  i bought it to keep armpits and other areas trim and tidy  perfect for that use but the blades do rust easily so be careful
positive,ill not go to a different brand ever again i use the tea tree  times a week and then the balancing bar once a week probably not nec but i like both of them dandruff and itching relieved soft healthy shiny hair in its place lathers well i got the traveler kit once it comes with a pouch to keep the bar in great for travel camping and healthier hair will be a ligget s user for life
negative,the only good thing i can say about this product is that it does get your teeth clean  beyond that its basically another example of a great idea that is so poorly executed that its price exceeds its value  whoever designed this item should be taken to the woodshed  its pretty clear that the designers did not actually use the product they designed  even when it works correctly this device is clumsy to use because it requires two hands to turn it on and off or to adjust the waterjet intensity  especially with wet hands which is hard to avoid when cleaning ones teeth  all repeat a l l of the outer surfaces are so slick that they are very difficult to grip securely  the tool compartment just sits on top of the tank it should have a snapon connector because it falls off easily furthermore it wont even hold all of the tools that come with the device  one is always left over not including the one on the hand wand  an amazing design oversight  all but one of the tips use water so quickly that the tank is emptied before the job is done  even more amazing is that the tank also just sits on top of the base with little more attachment than the friction of the water seal at the bottom  the sound this device makes is far too loud for what it does and sounds like a grinder  the final insult came when the device simply stopped working just barely after the warranty expired  however nothing short of returning for a full refund would be adequate  for all the reasons given above  bottom line  this product is very poorly designed and is not worth even half of what it costs
